ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0404943722;0;0;0;0;0;14;0;0;0;0;0;0;7;0;0;0;0
0404944613;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
0404944712;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
0404945108;0;0;0;44;1;0;0;0;0;0;0;0;0;0;0;0;0
0404946690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404948868;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
0404952234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404956192;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
0404959954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404966189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404967278;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
0404974802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404977176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404982621;0;0;0;0;0;12;4;0;0;0;0;0;3;0;0;0;0
0404985787;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
0404985985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404990143;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0404996081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0405084965;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0
0405433670;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0405742090;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
0405746743;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
0405790788;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0405791778;0;0;0;2;0;2;0;0;0;0;0;0;3;0;0;0;0
0405792273;3;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
0405793857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0405794055;0;0;0;0;0;19;0;0;0;0;0;0;1;0;0;0;0
0405795045;0;0;0;0;0;2;0;0;0;0;0;0;16;1;0;0;0
0405800686;0;0;0;255;0;6;8;0;0;0;6;0;4;1;0;0;0
0405801082;0;0;0;1;3;1;0;0;0;0;0;0;0;2;2;2;0
0405845822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0405891946;0;0;0;0;1;3;1;0;0;0;42;2;9;2;0;0;0
0405940545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0405993993;0;0;0;20;1;3;0;0;0;0;4;0;1;0;0;0;0
0405997458;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0
0405998646;1;1;0;0;3;5;0;19;0;0;0;0;0;0;0;0;0
