ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0474337720;1;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0
0433224467;1;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0
0400974442;1;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;0
0459770496;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0886045312;1;0;0;5;0;6;0;0;0;0;0;0;3;1;0;0;0
0628496751;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0468794664;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0406874220;1;0;0;5;5;0;0;0;0;0;0;0;1;0;0;0;0
0441053258;1;0;0;6;1;3;0;0;0;0;0;0;7;0;0;0;0
0419045542;1;0;0;7;0;0;1;0;0;0;0;0;3;0;0;0;0
0436369742;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0465382442;1;0;0;6;0;1;0;0;0;0;0;0;1;0;0;0;0
0445983036;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0218993039;1;0;0;5;1;0;0;0;0;0;0;0;4;0;0;0;0
0439699911;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0441491441;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
0550532804;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0417172254;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0881767513;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0460265889;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0403551672;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0420639510;1;0;0;7;0;0;0;0;0;0;0;0;5;0;0;0;0
0419296653;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0420709883;1;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0
0460925588;1;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0
0642596393;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
0875430443;1;0;0;5;0;1;0;0;0;0;0;0;2;0;0;0;0
0875341361;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
0428116626;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0541439449;1;0;0;5;0;0;0;0;0;0;0;0;2;1;0;0;0
0478997876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0418908257;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0550533297;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0898125968;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0
0836734668;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0889286694;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0445057972;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0668426703;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0424236725;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0466824574;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0409325944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0414678562;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0681588613;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0839944576;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0836746447;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0441115517;1;0;0;5;0;2;0;0;0;0;0;0;2;0;0;0;0
0445607706;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0
0419245381;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0536645867;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0435235436;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0479401318;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0403560184;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0457206827;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0437271743;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0436650646;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0425262549;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0503995766;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0861522029;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0
0462900331;1;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0
0468717064;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
0871735337;1;0;0;6;1;0;0;0;0;0;0;0;3;0;0;0;0
0437529485;1;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0
0459981819;1;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0
0473343865;1;0;0;6;0;0;0;0;0;0;0;0;1;1;0;0;0
0865104792;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0412939094;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0542771715;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0442640593;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0451432753;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0683783385;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0443634349;1;0;0;9;0;0;1;0;0;0;0;0;3;0;0;0;0
0821991559;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0437774262;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0633854022;1;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0
0699474522;1;0;0;7;0;2;1;0;0;0;0;0;2;0;0;0;0
0471645375;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0444509329;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0414239587;1;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0
0414706870;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
0406558672;1;0;0;4;0;2;0;0;0;0;0;0;1;0;0;0;0
0466908609;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0420386023;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0
0421031171;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0544791392;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0400880016;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0459390317;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0423689763;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0411612273;1;0;0;5;1;0;0;0;0;0;0;0;1;0;0;0;0
0546826909;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0875468748;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0862962775;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0439523628;1;0;0;5;5;0;0;0;0;0;0;0;1;0;0;0;0
0898490709;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0402192484;1;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0
0400366114;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0441146496;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0410064629;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0845987379;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0469955003;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0414944620;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0822978088;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0458921054;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
0474550031;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0414358660;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0471673980;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0824870083;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
0454064819;1;0;0;5;1;0;0;0;0;0;0;0;1;0;0;0;0
0465358092;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0448936388;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0423221589;1;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0
0860419296;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0422904657;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
0479092304;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0465041160;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0892456715;1;0;0;5;0;0;0;0;0;0;0;0;3;0;1;0;0
0685709727;1;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0
0451459279;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0438082088;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
0681642259;1;0;0;8;3;6;0;0;0;0;0;0;0;0;0;0;0
0442780749;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0406949048;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0403567015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0559951702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0464360675;1;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0
0422940586;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0899980054;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0861157387;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0
0685493753;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0428293404;1;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0
0428659430;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0437785744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0429429886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402783590;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0429375448;1;0;0;5;4;1;0;0;0;0;0;0;1;1;0;0;0
0412130828;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0839007933;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0479419134;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0406970131;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
