ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0404139810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404144065;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0
0404157725;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0404161584;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0404163762;0;0;0;0;1;2;1;0;0;0;0;0;2;0;0;0;0
0404164554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404166237;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0
0404167524;0;0;1;6;5;2;3;0;0;0;0;1;2;0;1;0;0
0404169405;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0
0404172472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404174551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404175937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404176135;0;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0
0404199394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404206522;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0404207116;0;0;0;3;0;1;1;0;0;1;2;0;2;1;1;0;0
0404209193;0;1;1;1;0;1;0;0;1;0;2;0;2;1;0;1;0
0404211371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
