ondnr, ,perc, ,score
411519827,    ,6.0,    ,D
411520124,    ,4.0,    ,D
411590004,    ,5.0,    ,D
411592279,    ,5.0,    ,D
411596536,    ,11.0,    ,D
411623359,    ,5.0,    ,D
411628804,    ,0.0,    ,D
411630683,    ,11.0,    ,D
411639987,    ,6.0,    ,D
411646818,    ,14.0,    ,D
411655825,    ,0.0,    ,D
411656320,    ,9.0,    ,D
411664832,    ,6.0,    ,D
411674235,    ,9.0,    ,D
411674334,    ,5.0,    ,D
411680668,    ,9.0,    ,D
411888724,    ,3.0,    ,D
411927821,    ,13.0,    ,D
411928118,    ,8.0,    ,D
411934452,    ,15.0,    ,D
411937224,    ,13.0,    ,D
411944845,    ,15.0,    ,D
411954941,    ,8.0,    ,D
411961473,    ,7.0,    ,D
411968403,    ,12.0,    ,D
411969490,    ,16.0,    ,D
411972856,    ,18.0,    ,D
411986120,    ,5.0,    ,D
411986615,    ,8.0,    ,D
411987308,    ,6.0,    ,D
411987506,    ,11.0,    ,D
412003045,    ,5.0,    ,D
412003738,    ,12.0,    ,D
412019772,    ,10.0,    ,D
412038182,    ,8.0,    ,D
412044023,    ,4.0,    ,D
412046595,    ,6.0,    ,D
412061839,    ,6.0,    ,D
412083417,    ,13.0,    ,D
412087375,    ,7.0,    ,D
412090246,    ,14.0,    ,D
412108854,    ,11.0,    ,D
412112715,    ,8.0,    ,D
412116574,    ,9.0,    ,D
412127858,    ,10.0,    ,D
412399557,    ,7.0,    ,D
412421333,    ,8.0,    ,D
412452908,    ,5.0,    ,D
412457262,    ,6.0,    ,D
412461618,    ,6.0,    ,D
412508138,    ,8.0,    ,D
412513185,    ,4.0,    ,D
412540109,    ,14.0,    ,D
412540406,    ,5.0,    ,D
412556737,    ,6.0,    ,D
412563071,    ,5.0,    ,D
412571583,    ,5.0,    ,D
412584649,    ,3.0,    ,D
412618204,    ,6.0,    ,D
412620875,    ,9.0,    ,D
412623251,    ,5.0,    ,D
412652648,    ,4.0,    ,D
412696396,    ,10.0,    ,D
412697584,    ,15.0,    ,D
412697683,    ,5.0,    ,D
412701841,    ,5.0,    ,D
412709957,    ,6.0,    ,D
412725991,    ,7.0,    ,D
412744205,    ,8.0,    ,D
412746282,    ,10.0,    ,D
412757764,    ,5.0,    ,D
412760932,    ,16.0,    ,D
