ondernemingsnummer;aantal;omzet;balanstotaal;framework;soort;sector
535655873;54;4114952.0;2701189;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
452877162;0;0.0;0;Nee;0;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
429145519;16;0.0;1053481;Nee;None;Niet
859625975;30;3496442.0;3834962;Nee;None;Schrijven van computerprogramma's
474105118;48;3493749.0;2324314;Nee;None;Personenvervoer te land binnen steden of voorsteden
400939305;13;3485329.0;75300021;Nee;None;Verhuur en exploitatie van sociale woningen
468763089;12;3478234.0;3543859;Nee;None;Reclamebureaus
647846370;10;3425619.0;795597;Nee;None;Risicoanalisten en schadetaxateurs
400665428;12;3413307.0;89627785;Nee;None;Verhuur en exploitatie van sociale woningen
460457713;6;4965970.0;1837068;Nee;None;Overige vervoerondersteunende activiteiten
825374285;48;3398512.0;1474663;Nee;None;Rusthuizen voor ouderen (R.O.B.)
436878991;20;3384948.0;633482536;Nee;None;Activiteiten van hoofdkantoren
463369790;0;3365219.0;9236369;Nee;0;Productie van edele metalen en van andere non
424952149;0;0.0;0;Nee;0;Groothandel in andere voedingsmiddelen, n.e.g.
458430512;2;3342480.0;22772786;Nee;None;Holdings
432649593;17;3334730.0;1434908;Nee;None;Schrijnwerk
675704968;0;0.0;0;Nee;0;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
455132611;22;3289189.0;1182931;Nee;None;Eetgelegenheden met beperkte bediening
540772030;18;4335599.0;1186076;Nee;None;Reclamebureaus
869630833;148;70.0;0;Nee;None;Schrijven van computerprogramma's
455185168;20;3229217.0;1529969;Nee;None;Terugwinning van metaalafval
418426821;19;3399757.0;2563462;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
440274486;36;3202489.0;2786952;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
456622946;24;3445765.0;2030547;Nee;None;Handelsbemiddeling in textiel, kleding, bont, schoeisel en lederwaren
447888095;4;1992345.0;13257542;Nee;None;Handel in eigen onroerend goed
862424624;2;2337735.0;3540079;Nee;None;Productie van bioscoopfilms
402712029;14;3167682.0;3214480;Nee;None;Groothandel in bloemen en planten
424874945;23;3262980.0;1203080;Nee;None;Accountants en belastingconsulenten
448463167;20;3227016.0;2124466;Nee;None;Overige reiniging van gebouwen, industriï¿½le reiniging
837602918;19;3421784.0;1763754;Nee;None;Computerconsultancy
563727871;0;0.0;0;Nee;0;Carrosserieherstelling
403547912;103;3088160.0;4008083;Nee;None;Overige eetgelegenheden
439082376;17;3078617.0;527018330;Nee;None;Activiteiten van hoofdkantoren
403783779;11;3040608.0;294724634;Nee;None;Fokken van paarden en andere paardachtigen
437952030;98;3038292.0;8547797;Nee;None;Gegevensverwerking, webhosting en aanverwante activiteiten
444575645;24;3032541.0;5603763;Nee;None;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
839594584;34;3032394.0;2293163;Nee;None;Overige technische testen en toetsen
664883530;4;2185744.0;911632;Nee;None;Overige diensten op het gebied van informatietechnologie en computer
521673324;17;3018194.0;2707581;Nee;None;Ingenieurs en aanverwante technische adviseurs, exclusief landmeters
860572419;23;2893546.0;14599947;Nee;None;Beheer van kerkhoven en activiteiten van crematoria
474750464;8;2426139.0;1132179;Nee;None;Computerconsultancy
874405510;17;2981224.0;804488;Nee;None;Eetgelegenheden met beperkte bediening
438637760;0;0.0;0;Nee;0;Groothandel in andere machines en werktuigen, n.e.g.
407902519;78;2952728.0;1712940;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
743696525;9;0.0;1155833;Nee;None;Overige vervoerondersteunende activiteiten
464223093;0;0.0;0;Nee;0;Hotels en dergelijke accommodatie
400941184;3;2908455.0;99397361;Nee;None;Overige geldscheppende financiï¿½le instellingen
406217093;18;2888604.0;1103423;Nee;None;Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (= 3,5 ton)
407588654;27;2891582.0;9895958;Nee;None;Diverse administratieve activiteiten ten behoeve van kantoren
657873695;0;0.0;0;Nee;0;Markt
872586165;47;2881898.0;122562855;Nee;None;Webportalen
480239476;21;2872728.0;850892;Nee;None;Eetgelegenheden met beperkte bediening
839956256;4;2870918.0;13993322;Nee;None;Holdings
561862008;20;2842684.0;2775316;Nee;None;Overige gespecialiseerde wetenschappelijke en technische activiteiten
456810909;8;4469316.0;2444788;Nee;None;Groothandel in kleding, met uitzondering van werk
817325661;6;2403705.0;1532848;Nee;None;Handel in aanhangwagens, opleggers en caravans
670825274;14;8179626.0;1307655;Nee;None;Groothandel in chemische producten voor industrieel gebruik
867477829;22;2962033.0;1611061;Nee;None;Andere reinigingsactiviteiten
810982851;16;2713334.0;15797890;Nee;None;Reclamebureaus
440114041;17;2986258.0;7765623;Nee;None;Verhuur en exploitatie van eigen of geleasd onroerend goed
465914160;157;2656206.0;5534745;Nee;None;Beschutte en sociale werkplaatsen
405774754;12;2640130.0;81093100;Nee;None;Verhuur en exploitatie van sociale woningen
435839905;14;2616462.0;1258129;Nee;None;Reisbureaus
899572456;38;3158539.0;1895589;Nee;None;Verzekeringsagenten en
449096538;43;2277520.0;9532849;Nee;None;Rusthuizen voor ouderen (R.O.B.)
411559914;26;2594623.0;1726931;Nee;None;Groothandel in foto
478294726;34;2592147.0;612234;Nee;None;Uitzendbureaus
478882664;17;2569642.0;21585981;Nee;None;Holdings
479002826;0;0.0;0;Nee;0;Verhuur en exploitatie van eigen of geleasd niet
643921632;26;2545096.0;919110;Nee;None;Activiteiten van hoofdkantoren
453212110;12;2506170.0;29397247;Nee;None;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
414444871;8;2490299.0;1572018;Nee;None;Vervaardiging van communicatieapparatuur
836419221;14;2076562.0;752839;Nee;None;Detailhandel in dames
684869092;30;2448865.0;3028575;Nee;None;Speur
465467069;18;2539428.0;3438177;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
431154904;44;2529321.0;2146185;Nee;None;Andere vormen van maatschappelijke dienstverlening zonder huisvesting, n.e.g.
453944063;8;0.0;572247;Nee;None;Installatie van verwarming, klimaatregeling en ventilatie
843142806;6;2472639.0;516839;Nee;None;Groothandel in kantoor
422803994;18;2428055.0;1699986;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
535751289;8;1775637.0;1281102;Nee;None;Groothandel in elektrische huishoudelijke apparaten en audio
417956865;18;2481797.0;33023061;Nee;None;Serviceflats voor ouderen
458430908;9;2415586.0;1753247;Nee;None;Groothandel in andere machines en werktuigen, n.e.g.
463402256;7;2410768.0;1975013;Nee;None;Holdings
477621763;6;2391936.0;1257117;Nee;None;Bouwmarkten en andere doe
472402173;0;0.0;0;Nee;0;Groothandel in kleding, met uitzondering van werk
418107513;7;2386231.0;855799;Nee;None;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
834319764;10;2412359.0;1390765;Nee;None;Detailhandel in onderkleding, lingerie en strand
403101910;22;2490119.0;1149612;Nee;None;Computerconsultancy
885077389;16;2373940.0;617993;Nee;None;Groothandel in andere intermediaire producten, n.e.g.
881899749;18;1531331.0;767441;Nee;None;Overige technische testen en toetsen
895031767;10;2325055.0;3766162;Nee;None;Holdings
845231175;16;2175002.0;17121074;Nee;None;Productie van televisieprogramma's
446340946;38;2284013.0;1974413;Nee;None;Rusthuizen voor ouderen (R.O.B.)
478225341;0;0.0;0;Nee;0;Detailhandel in niet
456973433;22;2269963.0;3720006;Nee;None;Diensten in verband met vervoer te land
427885608;0;2453748.0;715419;Nee;0;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
447665193;46;3068709.0;1663850;Nee;None;Detailhandel in damesbovenkleding in gespecialiseerde winkels
420458871;39;2249931.0;1733606;Nee;None;Activiteiten van beschut wonen voor personen met psychiatrische problemen
